date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:08	92092/92092	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:42%20GMT	https://duruthemes.com/demo/html/renax/dark/index.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/index.html	(from )
22:11:09	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2019:11:07%20GMT	https://duruthemes.com/robots.txt		(from )
22:11:09	2841/2841	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Oct%202024%2015:05:03%20GMT	https://duruthemes.com/demo/html/renax/dark/img/favicon.png	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/img/favicon.png	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:09	972/972	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Oct%202024%2015:04:48%20GMT	https://duruthemes.com/demo/html/renax/dark/css/plugins.css	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/css/plugins.css	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:09	152780/152780	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Oct%202024%2015:04:48%20GMT	https://duruthemes.com/demo/html/renax/dark/css/style.css	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/css/style.css	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:10	8725/8725	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Oct%202024%2015:05:03%20GMT	https://duruthemes.com/demo/html/renax/dark/img/logo-light.png	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/img/logo-light.png	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:10	96277/96277	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:43%20GMT	https://duruthemes.com/demo/html/renax/dark/index5.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/index5.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:10	87327/87327	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:42%20GMT	https://duruthemes.com/demo/html/renax/dark/index2.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/index2.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:10	85842/85842	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:45%20GMT	https://duruthemes.com/demo/html/renax/dark/index7.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/index7.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:10	86894/86894	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:41%20GMT	https://duruthemes.com/demo/html/renax/dark/index3.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/index3.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:11	95439/95439	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:45%20GMT	https://duruthemes.com/demo/html/renax/dark/index4.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/index4.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:11	91208/91208	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:47%20GMT	https://duruthemes.com/demo/html/renax/dark/index6.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/index6.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:11	83737/83737	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:47%20GMT	https://duruthemes.com/demo/html/renax/dark/onepage-slider.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/onepage-slider.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:11	87892/87892	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:48%20GMT	https://duruthemes.com/demo/html/renax/dark/onepage-slider2.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/onepage-slider2.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:12	83414/83414	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:46%20GMT	https://duruthemes.com/demo/html/renax/dark/onepage-image.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/onepage-image.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:12	86639/86639	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:45%20GMT	https://duruthemes.com/demo/html/renax/dark/onepage-image2.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/onepage-image2.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
22:11:12	78632/78632	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2015:04:47%20GMT	https://duruthemes.com/demo/html/renax/dark/onepage-video.html	C:/Users/aliri/Desktop/araba/duruthemes.com/demo/html/renax/dark/onepage-video.html	(from https://duruthemes.com/demo/html/renax/dark/index.html)
